Datetime,Lat.,Lon.,Total_SO2,OMTO3_O3,DateforKepler
20130409T050408015Z,31.03,121.17,0.836,304.767,2013/04/09 05:04:08.015
20130409T050415503Z,31.47,121.06,0.895,311.85900000000004,2013/04/09 05:04:15.503
20130409T050422992Z,31.9,120.94,0.22899999999999998,318.95099999999996,2013/04/09 05:04:22.992
20130409T050400527Z,30.64,121.81,0.019,298.447,2013/04/09 05:04:00.527
20130409T050408015Z,31.08,121.7,-0.348,297.462,2013/04/09 05:04:08.015
20130409T050415503Z,31.52,121.58,-0.205,304.296,2013/04/09 05:04:15.503
20130409T050422992Z,31.96,121.47,0.958,314.825,2013/04/09 05:04:22.992
20130409T050408015Z,31.13,122.24,0.506,298.351,2013/04/09 05:04:08.015
20130409T050415503Z,31.57,122.12,0.23600000000000002,304.268,2013/04/09 05:04:15.503
20130410T044520501Z,30.85,120.54,0.495,324.972,2013/04/10 04:45:20.501
20130410T044527990Z,31.29,120.4,0.445,335.97,2013/04/10 04:45:27.990
20130410T044513013Z,30.56,121.24,-0.07200000000000001,319.431,2013/04/10 04:45:13.013
20130410T044520501Z,31.0,121.11,0.5529999999999999,328.856,2013/04/10 04:45:20.501
20130410T044527990Z,31.43,120.97,0.07200000000000001,338.283,2013/04/10 04:45:27.990
20130410T044535478Z,31.87,120.83,1.7080000000000002,348.101,2013/04/10 04:45:35.478
20130410T044513013Z,30.69,121.78,-0.20800000000000002,321.5,2013/04/10 04:45:13.013
20130410T044520501Z,31.13,121.65,-0.591,323.694,2013/04/10 04:45:20.501
20130410T044527990Z,31.56,121.51,0.35200000000000004,333.17400000000004,2013/04/10 04:45:27.990
20130410T044535478Z,32.0,121.38,-0.107,342.647,2013/04/10 04:45:35.478
